"grade overall_score ""name"" lab_avg asst_avg quiz_avg ""junk"" ""asst"" ""asst"" ""asst"" ""asst"" ""asst"" ""asst"" ""junk"" ""lab"" ""lab"" ""lab"" ""lab"" ""lab"" ""lab"" ""lab"" ""lab"" ""junk"" ""quiz"" ""quiz"" ""quiz"" ""quiz"" ""quiz"" ""quiz"" ""junk"" ""final"" "
"0 F ""S1804289383"" 0 0 0                          "
"0 F ""S521595368"" 0 0 0                          "
"4 F ""S756898537"" 2 0 2         60 65         16       "
"8 F ""S1303455736"" 3 5 0  100       100 105                "
"9 F ""S1365180540"" 2 4 3  75       100 94        24        "
"10 F ""S184803526"" 1 0 9         95         39 2 20 6     "
"10 F ""S233665123"" 1 5 4  96       93         36        "
"12 F ""S1714636915"" 1 5 6  98       100         48        "
"13 F ""S859484421"" 1 3 9  50        80        37 29       "
"17 F ""S1734575198"" 2 9 6  91 84      97 100          24 14     "
"22 F ""S1424268980"" 2 6 13  60 65      80 50 60       61 37       "
"37 F ""S2089018456"" 3 8 13  50 100       92 73 30 85     12 9 32 28 28   60 "
"53 F ""S336465782"" 8 23 22  97 96 100 88 70   100 100 90 100 110 100 70    39 32 35 53 42   "
"67 D ""S1656478042"" 6 21 18  85 70 100 65 100    92 84 100 100 96    54  24 33 24   104.5 "
"67 D ""S468703135"" 6 21 20  90 91 70 65 100   92 90 72 85 20 88 40 40  38 39 21 37 26 31  90 "
"70 D+ ""S846930886"" 8 21 19  92 70 70 94 100   100 97 92 100 100 88 85   27 34 19 37 50   98 "
"73 C ""S412776091"" 8 23 21  94 86 95 82 100   100 100 98 85 94 94 75   33 37 30 47 29 22  99 "
"73 C- ""S719885386"" 7 20 21  70 95 65 60 100   90 95 75 85 100 68 75   44 30 32 37 55 36  116 "
"75 C ""S1726956429"" 7 20 22  97 100  93 100   90 100 83 100  100 92   52 39 32  48 35  122 "
"75 C ""S1911759956"" 6 29 15  97 96 94 100 100 98  85 98 70 98 100 88    37  21 25 36   111 "
"75 C ""S35005211"" 7 25 20  97 97 96 100 100   93 100 83 100 100 96    34 15 35 39 23 38  111.5 "
"75 C ""S596516649"" 8 27 22  70 100 100 70 100 92  100  80 90 100 76 80 93  44 10 32 47 46 22  86.5 "
"76 C ""S1189641421"" 9 25 20  98 96 60 60 100 80  97 100 83 97 100 72 100 85  31 31 39 28 35 39  104 "
"76 C ""S1540383426"" 7 29 17  95 100 100 86 100 100  100 85 72 85 40 76 78 30  36 26 30 25 40 29  107 "
"76 C ""S2038664370"" 8 29 18  88 100 94 90 100 100  95  100 85 100 80 88 100  38 11 24 40 32 25  104 "
"76 C ""S278722862"" 9 28 18  85 95 100 90 100 92  100 94 90 95 100 110 74 90  18 32 32 33 30 21  99 "
"77 C ""S1025202362"" 7 23 22  96 92 94 80 100   100 100 73  100 80 80 70  44 15 42 30 51 30  116 "
"77 C ""S1129566413"" 8 26 20  70 91 75 100 98 93  95 87 100 98 100 92 90   16 14 35 44 41 29  104 "
"77 C+ ""S1957747793"" 9 27 21  84 94 60 92 100 100  100 100 94 92 104 76 85 88  50 14 24 31 48 40  96 "
"77 C ""S42999170"" 8 24 21  100 96 92 100 100   95 95 78 100 100 100 70   37 27 40 37 47 17  111 "
"78 C+ ""S1315634022"" 9 23 19  90 96 100 83 100   95 97 100 95 100 96 95 86  35 31 24 37 41 37  120.5 "
"78 C+ ""S1369133069"" 9 26 19  80 94 60 86 100 100  100 100 68 85 104 92 88 88  27 4 34 43 42 23  112.5 "
"78 C+ ""S1653377373"" 8 26 23  50 86 96 100 90 90  85 80 90 85 100 98 76 40  52 25 30 43 51 36  101.5 "
"78 C+ ""S2044897763"" 8 24 21  100 96 96 100 93   90 100 86 100 100 100 85   29 34 32 42 39 37  114 "
"79 C+ ""S137806862"" 7 26 21  93 76 60 86 100 100  90 95 88 95 107 88    30 19 32 49 35 43  116.5 "
"79 C+ ""S1681692777"" 7 23 25  70 97 100 100 100   100 100 92 100 100 100    47 23 40 44 64 25  108 "
"80 B- ""S628175011"" 7 28 21  96 97 92 74 100 100  85 100 88 97 100 100    27 18 24 50 51 36  113 "
"80 C+ ""S1102520059"" 8 28 22  94 88 100 85 100 100  100 97 100 100 100 100 100   44 47 32 30 28 25  97 "
"82 B- ""S749241873"" 8 24 26  95 97 80 100 100   95 98 97 100 97 96 80   55 26 45 44 54 49  112.5 "
"83 B- ""S424238335"" 8 24 27  100 96 92 100 100   100 100 85 100 100 100 80   51 29 40 48 68 36  112 "
"84 B ""S1967513926"" 9 29 22  100 88 100 100 100 100  95 98 83 97 100 100 90 100  45 23 32 37 60 30  109.5 "
"84 B ""S304089172"" 9 29 22  95 92 96 100 100 100  90 100 83 100 100 100 76 70  49 34 32 38 36 19  114.5 "
"84 B ""S608413784"" 8 29 22  70 100 100 100 100 100  100 100 100 100 100 100 92   34 39 34 32 61 35  115.5 "
"84 B ""S783368690"" 9 29 21  95 96 100 95 100 100  100 92 93 100 100 100 74 100  34 30 29 42 51 37  113.5 "
"85 B ""S1649760492"" 9 30 22  98 100 96 100 100 100  90 100 70 100 100 96 80 100  32 14 40 50 44 27  113 "
"85 B ""S2145174067"" 9 29 19  97 94 100 100 100 93  100 100 73 100 100 109 100 100  35 19 19 42 48   130.5 "
"86 B ""S294702567"" 9 28 23  100 100 100 60 100 100  90 100 100 97 100 96 90 100  39 38 27 39 60 42  115.5 "
"87 B+ ""S1131176229"" 9 28 23  100 100 100 60 100 100  90 100 100 97 100 96 92 100  47 37 30 42 44 39  125 "
"87 B ""S149798315"" 8 29 24  98 96 96 90 100 100  90 100 74 100 100 100 94   35 45 32 44 57 38  119 "
"87 B+ ""S1801979802"" 9 30 23  92 100 100 100 100 100  70 100 65 97 90 110 84 100  42 35 30 42 56 26  122.5 "
"87 B+ ""S1973594324"" 10 30 23  93 100 100 100 100 100  100 100 100 100 96 96 94 100  40 32 32 50 51 38  118 "
"88 B+ ""S861021530"" 9 28 27  97 88 90 97 100 90  95 90 72 100 100 80 85 95  61 37 40 50 53 47  114.5 "
"89 B+ ""S1125898167"" 7 30 27  100 92 100 100 100 100  100 60 86 100 100 100    53 27 50 48 60 42  120 "
"93 A- ""S1350490027"" 9 28 27  100 100 100 60 100 100  100 100 77 95 100 92 93 100  47 48 45 42 60 48  134 "
"93 A- ""S1914544919"" 10 30 24  100 100 100 100 100 100  95 103 100 100 100 110 100 100  40 35 42 45 49 38  138 "
"96 A ""S635723058"" 9 30 28  100 100 100 100 100 100  100 100 94 85 100 110 90 100  44 37 32 50 72 58  130 "
"97 A+ ""S1059961393"" 10 30 30  100 97 100 100 100 100  100 100 100 100 100 100 95 100  61 45 50 50 64 47  132.5 "
"98 A+ ""S1101513929"" 10 30 28  100 100 100 100 100 100  100 100 94 100 110 110 93 96  55 43 44 50 70 50  140 "
